userID1,userID2,user1Follows2,user2Follows1,numberOfMentions,NumberOfReplies,NumberOfRetweets,TrustScore
14082,12660,0,1,1,1,0,1
14540,5618,1,1,0,0,0,2
5427,5292,1,1,5,0,4,4
6794,6283,1,1,18,2,1,4
4139,3763,1,1,0,0,1,2
2604,10380,1,1,0,0,1,3
3546,3309,0,1,1,0,7,3
11061,2945,1,0,1,0,0,2
5503,8430,0,1,0,0,2,1
3230,1940,1,1,0,0,0,2
14540,12893,1,1,1,1,0,2
12916,11912,0,1,0,0,0,1
10134,12660,0,1,0,1,0,1
8320,6550,0,1,2,0,0,1
10193,12726,1,1,6,0,0,3
8811,13948,1,0,1,0,0,3
12916,13061,1,0,0,0,0,1
10182,11917,1,1,0,0,6,4
4219,8300,1,0,1,0,0,2
2532,3906,1,1,5,1,0,3
3552,525,1,1,2,0,0,2
14540,10737,1,1,0,0,1,2
12324,4681,1,1,0,0,1,2
12912,9898,1,1,0,0,1,2
11035,13322,0,1,0,0,1,1
11772,14044,1,1,0,0,1,2
14255,4208,1,1,6,1,0,3
3644,1846,1,1,6,0,7,4
8642,12980,1,1,15,0,0,4
14082,9437,0,1,0,1,0,1
6794,8303,0,1,1,1,0,1
13140,255,1,0,0,0,0,1
10193,1875,1,1,6,14,3,4
2604,8622,1,1,1,2,0,2
12929,6555,0,1,0,1,0,1
7899,299,1,1,1,0,0,2
13140,1698,0,1,0,0,0,1
12916,12615,0,1,0,0,0,1
14082,13101,0,1,0,0,1,1
1875,2963,1,1,4,0,0,2
157,12215,1,1,2,3,0,3
14255,13691,1,1,10,0,0,3
4621,2240,1,1,1,0,0,2
8669,3841,1,1,20,0,0,4
11772,8181,1,1,0,0,6,3
12917,8532,0,1,0,0,1,1
